Repos,id,stars,forks,commits,contributors,releases,branches,open_pulls,closed_pulls,open_issues,closed_issues,size,archived,created_at,updated_at,age,language,,pull_requests,issues
Meigarom/Bus-Travel-Wise,162894319,3,3,16,2,0,5,4,4,0,0,92,FALSE,12/23/2018 0:00,2/8/2022 0:00,38,Python,,8,0
ClaytonStudent/2019_DL,163727913,4,1,24,0,0,0,0,0,0,0,4066,FALSE,1/1/2019 0:00,3/3/2023 0:00,50,Jupyter Notebook,,0,0
rakki-18/mortgage-classifier,242899055,2,1,33,3,0,0,0,0,0,0,15197,FALSE,2/25/2020 0:00,11/7/2021 0:00,21,Jupyter Notebook,,0,0
foamliu/Look-Into-Person,134400122,82,21,115,2,1,0,1,4,2,3,34256,FALSE,5/22/2018 0:00,2/4/2023 0:00,57,Python,,5,5
ALFA-group/lipizzaner-gan,132765661,32,11,74,6,0,37,7,24,5,1,88243,FALSE,5/9/2018 0:00,11/21/2022 0:00,54,Python,,31,6
mcarpanelli/Churn-Prediction-Rideshare,140325656,1,2,40,2,0,0,0,0,0,0,1487,FALSE,7/9/2018 0:00,10/14/2018 0:00,3,Python,,0,0
hugochan/Graph2Seq-for-KGQG,280999910,33,12,8,0,0,3,2,1,1,2,7597,FALSE,7/20/2020 0:00,3/15/2023 0:00,32,Python,,3,3
marian42/shapegan,181573173,287,47,560,3,0,9,0,1,15,9,26930,FALSE,4/15/2019 0:00,3/4/2023 0:00,47,Python,,1,24
hackobi/AI-Scalpel-Trading-Bot,206736341,185,34,40,2,0,4,3,2,0,0,5869,FALSE,9/6/2019 0:00,3/16/2023 0:00,42,Python,,5,0
ashishpapanai/stockDL,342252783,21,12,118,2,14,0,0,20,1,0,49182,FALSE,2/25/2021 0:00,1/26/2023 0:00,23,Python,,20,1
deyRupak/oculus,242292430,6,4,39,4,0,2,0,1,0,0,167895,FALSE,2/22/2020 0:00,3/6/2023 0:00,37,HTML,,1,0
IDKiro/action-recognition,154293488,79,18,43,0,0,0,0,0,2,16,116,FALSE,10/23/2018 0:00,1/17/2023 0:00,51,Python,,0,18
main76/snake-master,93047928,8,2,58,0,0,0,0,0,0,0,130,FALSE,6/1/2017 0:00,4/2/2021 0:00,46,Python,,0,0
