smells,bugs,vulnerabilities,security_hotspots,lines_of_code,comments,comments_density,debt,smells_minor,smells_major,smells_critical,smells_blocker,smells_info,bugs_minor,bugs_major,bugs_critical,bugs_blocker,bugs_info,vulnerabilities_minor,vulnerabilities_major,vulnerabilities_critical,vulnerabilities_blocker,vulnerabilities_info,hotspots_minor,hotspots_major,hotspots_critical,hotspots_blocker,hotspots_info
298.0,1.0,0.0,3.0,4106.0,817.0,16.595571805809467,2258.0,165.0,100.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
508.0,13.0,0.0,89.0,39172.0,8902.0,18.51728585097974,13050.0,38.0,206.0,264.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,59.0,2.0,0.0
501.0,70.0,0.0,15.0,6379.0,614.0,8.78020878020878,3773.0,141.0,218.0,139.0,3.0,0.0,39.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0
55.0,0.0,0.0,0.0,260.0,249.0,48.919449901768175,159.0,47.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,0.0,0.0,2.0,882.0,278.0,23.96551724137931,435.0,81.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3.0,19.0,0.0,0.0,551.0,266.0,32.55813953488372,199.0,1.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,45.0,0.0,16.0,2563.0,511.0,16.623292127521143,911.0,19.0,25.0,46.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0
15.0,0.0,0.0,1.0,406.0,151.0,27.109515260323157,48.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42.0,208.0,0.0,5.0,13828.0,23.0,0.1660529925637138,898.0,0.0,40.0,2.0,0.0,0.0,10.0,143.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
82.0,1.0,0.0,8.0,2677.0,1090.0,28.93549243429785,442.0,12.0,31.0,38.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0
19.0,1.0,0.0,4.0,3189.0,946.0,22.877871825876664,99.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
66.0,0.0,0.0,7.0,693.0,72.0,9.411764705882353,398.0,40.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
63.0,1.0,0.0,0.0,24566.0,295.0,1.1865974819999194,2615.0,54.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799.0,74.0,2.0,36.0,20662.0,4418.0,17.615629984051036,5473.0,179.0,550.0,62.0,7.0,1.0,60.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,6.0,1.0,0.0
165.0,0.0,0.0,2.0,1357.0,425.0,23.849607182940517,781.0,142.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
108.0,26.0,0.0,2.0,1946.0,657.0,25.240107568190552,1284.0,22.0,53.0,24.0,9.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3.0,0.0,0.0,0.0,396.0,23.0,5.4892601431980905,40.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,4.0,0.0,0.0,422.0,137.0,24.508050089445437,187.0,25.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,1.0,0.0,1.0,4648.0,1259.0,21.313695615371593,532.0,3.0,52.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,11.0,0.0,0.0,700.0,117.0,14.320685434516525,283.0,0.0,1.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,10.0,0.0,0.0,957.0,408.0,29.89010989010989,254.0,0.0,12.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,1.0,0.0,1.0,1015.0,94.0,8.476104598737603,200.0,17.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,9.0,2.0,18.181818181818183,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,3.0,0.0,1.0,1797.0,285.0,13.688760806916425,312.0,41.0,21.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,1307.0,369.0,22.01670644391408,501.0,41.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,221.0,56.0,20.216606498194945,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,3.0,0.0,3.0,1582.0,219.0,12.159911160466407,189.0,8.0,9.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
294.0,0.0,0.0,0.0,2818.0,1099.0,28.057186622415113,1537.0,44.0,202.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,2.0,0.0,0.0,1974.0,107.0,5.141758769822201,144.0,3.0,11.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2720.0,47.0,0.0,121.0,20056.0,3076.0,13.297596403250909,25297.0,1706.0,856.0,120.0,27.0,11.0,15.0,14.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,6.0,14.0,0.0
7.0,3.0,0.0,0.0,279.0,75.0,21.1864406779661,67.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1142.0,77.0,0.0,25.0,52352.0,4240.0,7.492225049476958,9751.0,623.0,304.0,159.0,3.0,53.0,51.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0
16.0,4.0,0.0,2.0,318.0,13.0,3.927492447129909,98.0,13.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1592.0,87.0,0.0,152.0,51798.0,4941.0,8.708295881139955,27178.0,403.0,1053.0,126.0,7.0,3.0,27.0,50.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,49.0,2.0,0.0
384.0,115.0,0.0,115.0,105368.0,3867.0,3.5400741520574908,3097.0,58.0,133.0,187.0,6.0,0.0,109.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,8.0,5.0,0.0
544.0,101.0,0.0,31.0,40861.0,5474.0,11.813963526491852,3798.0,192.0,214.0,89.0,1.0,48.0,18.0,80.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,0.0
57.0,0.0,0.0,15.0,498.0,29.0,5.502846299810247,200.0,50.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0
232.0,2.0,0.0,0.0,1018.0,261.0,20.40656763096169,691.0,209.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,129.0,38.0,22.75449101796407,172.0,36.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6801.0,3199.0,0.0,170.0,278699.0,35630.0,11.335257007784836,115774.0,556.0,5797.0,333.0,60.0,55.0,1560.0,1627.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,57.0,15.0,0.0
38.0,0.0,0.0,1.0,5350.0,387.0,6.745685898553251,261.0,6.0,0.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1743.0,225.0,0.0,807.0,154914.0,1064.0,0.6821474823372526,8612.0,533.0,1133.0,76.0,1.0,0.0,23.0,201.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,42.0,5.0,0.0
65.0,4.0,0.0,2.0,1091.0,46.0,4.0457343887423045,409.0,35.0,20.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,175.0,92.0,34.45692883895131,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
